Timestamp,Action,Path,Details,Error
2026-02-09T15:59:59.768845,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Stream document update,
2026-02-09T15:59:59.767836,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Stream document update,
2026-02-09T15:59:59.535249,write,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Transaction Update,
2026-02-09T15:59:59.535185,write,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Transaction Set,
2026-02-09T15:59:59.534967,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Transaction Get,
2026-02-09T15:59:59.360202,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Transaction Get,
2026-02-09T15:59:59.245323,read,app_config/ads,Get document (Found),
2026-02-09T15:59:59.101268,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Stream document update,
2026-02-09T15:59:59.095509,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Stream document update,
2026-02-09T15:59:47.892569,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Stream document update,
2026-02-09T15:59:47.891338,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Stream document update,
2026-02-09T15:59:47.607918,write,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Transaction Update,
2026-02-09T15:59:47.607896,write,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Transaction Set,
2026-02-09T15:59:47.607603,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Transaction Get,
2026-02-09T15:59:47.442128,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Transaction Get,
2026-02-09T15:59:47.071468,write,point_logs/ge3UJNCVjbMncRD7dV7f,Transaction Set,
2026-02-09T15:59:47.069421,write,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Transaction Set,
2026-02-09T15:59:47.068821,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Transaction Get,
2026-02-09T15:59:47.021022,read,app_config/ads,Get document (Found),
2026-02-09T15:59:46.867886,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Stream document update,
2026-02-09T15:59:46.773124,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Stream document update,
2026-02-09T15:57:14.783003,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Stream document update,
2026-02-09T15:57:14.781294,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Stream document update,
2026-02-09T15:57:14.635225,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Stream document update,
2026-02-09T15:57:14.632403,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Stream document update,
2026-02-09T15:57:13.844521,write,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Transaction Update,
2026-02-09T15:57:13.843743,write,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Transaction Set,
2026-02-09T15:57:13.838651,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Transaction Get,
2026-02-09T15:57:13.594119,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Transaction Get,
2026-02-09T15:57:13.399323,read,managers/s7tgpcssOaJLYtFJrrnJ,Get document (Found),
2026-02-09T15:57:13.239077,read,AggregateQuery,Count Query: 1,
2026-02-09T15:57:12.929230,read,referral_stats/4pCpl31sXNTyIpSCeJosPNohUkX2,Get document (Found),
2026-02-09T15:57:12.475953,read,users/VxNSBbUk5DQtY0Tyi5KBshcI9T53,Get document (Found),
2026-02-09T15:57:12.332061,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Transaction Get,
2026-02-09T15:57:12.258240,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Transaction Get,
2026-02-09T15:57:12.254061,read,AggregateQuery,Count Query: 1,
2026-02-09T15:57:12.096710,read,Query,Query Get: 1 docs,
2026-02-09T15:57:12.050544,read,referral_stats/4pCpl31sXNTyIpSCeJosPNohUkX2,Get document (Found),
2026-02-09T15:57:11.709543,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Get document (Found),
2026-02-09T15:57:11.704069,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Get document (Found),
2026-02-09T15:57:09.591440,read,app_config/ads,Get document (Found),
